;seg;badseg;meanamp_ROI;standard;wordreps;word.y;Typefrequenz_absolut;Nachbarn_mittel_absolut;Typelaenge_Zeichen;baysur;prederr
62;62;;15.8768;224;0.0;Nachtzug;0.026717557251908396;0.05263157894736842;0.625;0.029294721693427256;
63;63;;-15.405999999999999;224;0.0;Dreirad;0.010359869138495093;0.039473684210526314;0.5;0.004761251411468364;
64;64;;21.1723;224;0.034482758620689655;S-Bahn;0.09814612868047982;0.17105263157894737;0.375;0.0066910865504767915;
65;65;;5.0352;224;0.034482758620689655;U-Bahn;0.0916030534351145;0.15789473684210525;0.375;0.004165495439916398;
66;66;;19.8908;225;0.034482758620689655;Automobil;0.30861504907306436;0.09210526315789473;0.75;0.002112588253916978;
67;67;;8.1214;222;0.034482758620689655;Storch;0.12104689203925845;0.18421052631578946;0.375;0.025205747206647804;
68;68;;8.2697;224;0.0;Specht;0.10359869138495092;0.13157894736842105;0.375;0.009394787529767112;
69;69;;-121.416;224;0.0;Kuckuck;0.13685932388222466;0.07894736842105263;0.5;0.0057643870826797824;
70;70;;11.0916;225;0.034482758620689655;Sperling;0.14122137404580154;0.17105263157894737;0.625;0.004024269615902792;
71;71;;-26.4228;222;0.10344827586206896;Kommode;0.1826608505997819;0.11842105263157894;0.5;0.020526509206476386;
72;72;;8.9166;224;0.034482758620689655;Truhe;0.1728462377317339;0.27631578947368424;0.25;0.00527579774071103;
73;73;;15.397;224;0.10344827586206896;Sessel;1.0;0.5394736842105263;0.375;0.027252655261666085;
74;74;;15.9403;224;0.06896551724137931;Ehebett;0.04525627044711014;0.05263157894736842;0.5;0.002435308062163694;
75;75;;0.1456;224;0.034482758620689655;Esstisch;0.0005452562704471102;0.0;0.625;0.0018250539670363463;
76;76;;-6.5009;224;0.034482758620689655;Lehnstuhl;0.17393675027262814;0.05263157894736842;0.75;0.00502859068146739;
77;77;;-7.6403;225;0.06896551724137931;Schrank;0.6875681570338059;0.2894736842105263;0.5;0.001125362444360165;
78;78;;-9.4425;223;0.06896551724137931;Backblech;0.008178844056706653;0.013157894736842105;0.75;0.03393073570927151;
79;79;;-3.1322;224;0.06896551724137931;Teekanne;0.0321701199563795;0.05263157894736842;0.625;0.03189340284908109;
80;80;;-12.5019;224;0.06896551724137931;Schneebesen;0.016902944383860415;0.013157894736842105;1.0;0.02727576919962892;
81;81;;-11.6485;224;0.034482758620689655;Kuchenform;0.003816793893129771;0.02631578947368421;0.875;0.0024071557948381465;
82;82;;1.1956;224;0.034482758620689655;Tortenheber;0.0059978189749182115;0.0;1.0;0.004962044350250697;
83;83;;-3.179;225;0.034482758620689655;Backform;0.0016357688113413304;0.05263157894736842;0.625;0.0013097171340635818;
84;84;;-5.8977;223;0.10344827586206896;Hocker;0.1183206106870229;0.5394736842105263;0.375;0.005871294486817733;
85;85;;-53.4662;224;0.10344827586206896;Ehebett;0.04525627044711014;0.05263157894736842;0.5;0.0014625423355878746;
86;86;;3.1402;224;0.06896551724137931;Lehnstuhl;0.17393675027262814;0.05263157894736842;0.75;0.0030133394773688;
87;87;;-3.8861;224;0.13793103448275862;Sessel;1.0;0.5394736842105263;0.375;0.0019110537344145897;
88;88;;17.6689;225;0.06896551724137931;Esstisch;0.0005452562704471102;0.0;0.625;0.0007209188091764707;
89;89;;-22.8544;223;0.0;Strumpf;0.13195201744820065;0.09210526315789473;0.5;0.14859295952309773;
90;90;;-67.2925;224;0.0;Kopftuch;0.14285714285714285;0.02631578947368421;0.625;0.006632454860524235;
91;91;;13.2049;224;0.0;Handschuh;0.17938931297709923;0.09210526315789473;0.75;0.0034903023464974243;
92;92;;9.1452;224;0.0;Jackett;0.15267175572519084;0.13157894736842105;0.5;0.0022407882643226797;
93;93;;-3.542;225;0.0;Halstuch;0.06706652126499454;0.013157894736842105;0.625;0.0015515688437074337;
94;94;;-5.7174;222;0.0;Nashorn;0.0485278080697928;0.039473684210526314;0.5;0.1178505662568554;
95;95;1.0;-88.3515;224;0.0;Maulwurf;0.1019629225736096;0.06578947368421052;0.625;0.01529967305272032;
96;96;;36.0972;224;0.0;Gazelle;0.025081788440567066;0.14473684210526316;0.5;0.08850744534468702;
97;97;;9.338;224;0.0;Giraffe;0.025627044711014176;0.06578947368421052;0.5;0.008584499790217037;
98;98;;5.7837;225;0.0;Panther;0.11504907306434024;0.2894736842105263;0.5;0.004071288548241455;
99;99;;6.966;222;0.06896551724137931;U-Bahn;0.0916030534351145;0.15789473684210525;0.375;0.047734645524342756;
100;100;;-0.7002;224;0.0;Karren;0.27699018538713194;0.7236842105263158;0.375;0.007256580973503278;
101;101;;-1.979;224;0.06896551724137931;Automobil;0.30861504907306436;0.09210526315789473;0.75;0.004286256678289889;
102;102;;18.9158;224;0.034482758620689655;Kutsche;0.17829880043620502;0.4605263157894737;0.5;0.0029606598676483646;
103;103;;-14.8295;224;0.0;Fahrrad;0.38386041439476554;0.05263157894736842;0.5;0.002171912643739676;
