;seg;badseg;meanamp_ROI;wordreps;word.y;Typefrequenz_absolut;Nachbarn_mittel_absolut;Typelaenge_Zeichen;baysur;prederr
164;164;;12.6999;0.034482758620689655;Sperling;0.14122137404580154;0.17105263157894737;0.625;0.01737783915533373;
165;165;;24.7406;0.06896551724137931;Papagei;0.13249727371864775;0.09210526315789473;0.5;0.00588772931453586;
166;166;;2.6253;0.06896551724137931;Drossel;0.022900763358778626;0.05263157894736842;0.5;0.0035815482737166482;
167;167;;15.9863;0.034482758620689655;Specht;0.10359869138495092;0.13157894736842105;0.375;0.0024279337628083392;
168;168;;6.3453;0.034482758620689655;Pinguin;0.010905125408942203;0.06578947368421052;0.5;0.0017190045739945497;
169;169;;-21.7061;0.0;Schwalbe;0.08887677208287895;0.17105263157894737;0.625;0.001239000863137702;
170;170;;4.8968;0.0;Pelikan;0.026172300981461286;0.15789473684210525;0.5;0.000895128960669954;
171;171;;-30.484;0.034482758620689655;Akazie;0.017448200654307525;0.013157894736842105;0.375;0.006872806987242253;
172;172;;26.1136;0.10344827586206896;Ahorn;0.028898582333696837;0.23684210526315788;0.25;0.0041831576573171545;
173;173;;8.757;0.034482758620689655;Pappel;0.04198473282442748;0.5;0.375;0.002801221608580917;
174;174;;3.262;0.10344827586206896;Fichte;0.48800436205016356;0.5657894736842105;0.375;0.0019654933624974964;
175;175;;-4.6723;0.06896551724137931;Eiche;0.20610687022900764;0.6842105263157895;0.25;0.001411016362794006;
176;176;;5.3861;0.06896551724137931;Zypresse;0.009269356597600873;0.039473684210526314;0.625;0.0010207316822600397;
177;177;;-130.4752;0.06896551724137931;Esche;0.05343511450381679;0.6052631578947368;0.25;0.0007347404274594669;
178;178;;40.3978;0.06896551724137931;Rotbuche;0.009269356597600873;0.039473684210526314;0.625;0.0005191405762918777;
179;179;;16.3729;0.034482758620689655;Spinat;0.15921483097055616;0.15789473684210525;0.375;0.061873199216996154;
180;180;;7.8464;0.06896551724137931;Wirsing;0.025081788440567066;0.11842105263157894;0.5;0.06780050634016585;
181;181;;1.9192;0.034482758620689655;Kartoffel;0.2050163576881134;0.05263157894736842;0.75;0.0022001940279350544;
182;182;;15.5105;0.034482758620689655;Spargel;0.1559432933478735;0.25;0.5;0.0013985308857689463;
183;183;;8.3668;0.0;Tomate;0.10141766630316248;0.07894736842105263;0.375;0.0009373992173220497;
184;184;;7.631;0.06896551724137931;GrÃ¼nkohl;0.03544165757906216;0.02631578947368421;0.625;0.004955710661504685;
185;185;;-20.9208;0.0;Zwiebel;0.346782988004362;0.11842105263157894;0.5;0.0005200151973330963;
186;186;;-6.121;0.034482758620689655;Rotkohl;0.03816793893129771;0.06578947368421052;0.5;0.002378174459219879;
187;187;;-2.1888;0.06896551724137931;Bohrer;0.07470010905125408;0.2631578947368421;0.375;0.2059675891369825;
188;188;;20.4231;0.06896551724137931;Amboss;0.0;0.05263157894736842;0.375;0.014067861074291407;
