;subject;minutes_elapsed;cost_function;tau;slope_wordreps;slope_Typefrequenz_absolut;slope_Nachbarn_mittel_absolut;slope_Typelaenge_Zeichen;slope_baysur;regr_intercept;baysur_pval;resid_var
13;14;1.7333333333333334;369677.31773784023;19.84;0.5783374863469211;3.7179050171779426;-3.562742665496116;-1.8482602948353246;-12.632481924326893;-0.3505624242894356;0.005574348784320945;123.22577257927988
14;15;1.7;374835.40491809254;19.84;-2.0637572597349934;-0.9612265334632236;0.19583075098553765;2.1616422971809377;-1.3817900644775256;1.5830048010879947;0.7200347732577834;124.94513497269753
15;16;1.6833333333333333;360340.13849834976;19.84;-0.6934136054431717;1.121891433381252;-0.0514911396265586;-0.6914786312213754;-9.502082735928084;-1.845188143023043;0.14128395864321275;125.29212047925913
16;17;1.8833333333333333;409822.1950385872;19.84;2.970438405961155;-1.015215766416309;0.4457102590828015;1.6977216700680149;1.8217616757276334;-0.17190993436539145;0.5970815923815199;140.83236942906754
17;18;1.85;374935.8738185591;19.84;-1.081334459286823;2.085383721885959;-0.4395768249405255;1.4874757567765793;6.271772021593697;1.3803758581650845;0.0834652932906169;134.0013844955534
18;19;1.7666666666666666;324745.7893459622;19.84;2.963130282717482;-1.125092364366307;0.733740548680736;0.15511035507501233;-10.215308223776622;-3.123582233528891;0.005105463748195371;108.28469134576942
19;20;1.7666666666666666;372870.6800884238;19.84;-1.899574505909531;-0.950504792110021;-1.6146012672413697;-1.8702798799971003;1.7852107052654471;3.6085240540219083;0.6561002008243604;124.3316705863366
20;21;1.7666666666666666;426973.47032322886;19.84;0.7940104803888247;1.7242936689109427;-0.21571930295207997;-0.33032934349308907;-2.9272547319975386;-0.9721283226130489;0.4252399908248985;142.65735727471704
21;22;1.7833333333333334;379945.17865282996;19.84;0.3854136422639281;-1.4923240864423954;-1.112337472301244;-1.0310949152861022;6.926223329189927;-0.9181107694703176;0.0884601329855531;127.19959111243058
22;23;1.9333333333333333;131388.6571135094;19.84;-0.6800452613411055;-0.8552640253632942;1.5136368719327895;1.098272249499886;-1.6805013908056792;-1.0210958130574543;0.3992850967648086;43.81082264538504
23;24;1.8666666666666667;485788.5262661028;19.84;0.11531223641198252;2.3322660068781866;-0.1373048457573575;0.11752735201840284;-3.197222371595353;-0.9708433387196995;0.48028955665200657;162.47107901876365
24;25;1.8666666666666667;581705.8074536681;19.84;1.5509829069948378;2.3312684864178554;-1.1852887269449828;-3.2291321786162914;-5.456954073295242;0.22630206576204098;0.2629414025611865;194.2256452266006
25;26;1.7166666666666666;360392.76158447866;19.84;-0.5965057819170436;1.0008822900838328;-1.2420305423020164;-1.3915832835443864;-0.665023344597022;1.125342075084382;0.8769744988375885;120.13092052815949
26;27;1.95;350341.3261655035;19.84;-2.038247363375639;1.7160191858495493;-2.8114859741324456;-4.535624122220556;-2.2232906271596073;5.053892107150457;0.5361478460932698;117.2494398144256
