;seg;badseg;meanamp_ROI;standard;wordreps;word.y;Typefrequenz_absolut;Nachbarn_mittel_absolut;Typelaenge_Zeichen;baysur;prederr
123;123;;-9.8014;222;0.0;Spargel;0.1559432933478735;0.25;0.5;0.013871101036605034;
124;124;;-16.1808;224;0.034482758620689655;Tomate;0.10141766630316248;0.07894736842105263;0.375;0.010292936171361455;
125;125;;4.8441;224;0.0;GrÃ¼nkohl;0.03544165757906216;0.02631578947368421;0.625;0.020497015962212106;
126;126;;19.2006;224;0.0;Wirsing;0.025081788440567066;0.11842105263157894;0.5;0.012718869542313245;
127;127;;26.9823;224;0.034482758620689655;Rotkohl;0.03816793893129771;0.06578947368421052;0.5;0.009437262699795612;
128;128;;-23.2061;224;0.0;Kartoffel;0.2050163576881134;0.05263157894736842;0.75;0.0046456774331566555;
129;129;;31.9532;224;0.034482758620689655;Kohlrabi;0.07742639040348964;0.02631578947368421;0.625;0.006933114138475254;
130;130;;32.6605;225;0.0;Zwiebel;0.346782988004362;0.11842105263157894;0.5;0.003375845215468654;
131;131;;-15.3841;223;0.034482758620689655;Fichte;0.48800436205016356;0.5657894736842105;0.375;0.011919128131641555;
132;132;;-3.3005;224;0.0;Rotbuche;0.009269356597600873;0.039473684210526314;0.625;0.007290146353360083;
133;133;;7.0537;224;0.0;Eiche;0.20610687022900764;0.6842105263157895;0.25;0.005271483584026768;
134;134;;43.3219;224;0.034482758620689655;Pappel;0.04198473282442748;0.5;0.375;0.00407987523370548;
135;135;;-6.4185;225;0.034482758620689655;Ulme;0.025627044711014176;0.35526315789473684;0.125;0.0032643744045275447;
136;136;;22.1614;222;0.034482758620689655;Kutsche;0.17829880043620502;0.4605263157894737;0.5;0.06246307829072561;
137;137;;4.0879;224;0.034482758620689655;Karren;0.27699018538713194;0.7236842105263158;0.375;0.02050882674936675;
138;138;;0.5851;224;0.06896551724137931;Fahrrad;0.38386041439476554;0.05263157894736842;0.5;0.012573548607516978;
139;139;;0.7101;224;0.06896551724137931;Dreirad;0.010359869138495093;0.039473684210526314;0.5;0.0090413769152369;
140;140;;5.1576;224;0.034482758620689655;FÃ¤hre;0.11559432933478735;0.4342105263157895;0.25;0.006978079647019983;
