;simufile;cost_function;tau;baysur_slope;regr_intercept;sigmasqr
223;38;2954.1069520842325;10;-2.2631054713134517;0.4823339643664908;0.9873352112580991
224;38;2952.9293669694543;15;-2.359814861720925;0.4854449890180829;0.9869416333454059
225;38;2952.9293969911428;20;-2.4041686893337086;0.4887758351371798;0.9869416433793926
226;38;2965.0404599755025;50;-2.512230128655696;0.5065078287014705;0.990989458547962
227;38;2995.6059324468283;100;-2.218195499200141;0.4998228951335612;1.0012051913258115
228;39;453358.19802055066;5;-0.33799031976060323;-0.5470776338879443;156.70867543053947
229;39;466910.2490478775;10;3.8451655666072653;-0.07388207714188719;156.05289072455798
230;39;466934.85413784947;15;3.708317881657738;-0.07257152897614158;156.06111435088553
231;39;466964.9008198692;20;3.4183310126472133;-0.0695745682075978;156.07115669113276
232;39;467071.04804992187;50;1.8399208027450127;-0.04462915782023211;156.1066337065247
233;39;467057.2488236702;100;2.953557212123033;-0.07931458097218522;156.10202166566518
234;40;1103166.9741292528;5;1.7093795026231913;-1.6130208241109318;381.3228393118745
235;40;1137498.4814810166;10;5.178154096750744;-1.522018396866423;380.17997375702424
236;40;1137435.5519145112;15;5.819381843447988;-1.5383348118329496;380.15894114789813
237;40;1137388.1164286768;20;6.263915711899885;-1.554218622089162;380.14308704167
238;40;1137399.069284696;50;7.1430210670757175;-1.6177225108026998;380.1467477555802
239;40;1137829.6910068137;100;1.672762150154099;-1.4606930235203484;380.29067212794575
240;41;2.8222442887261097;5;1.7806353640712136;-0.07090986778304947;0.0009755424433895989
241;41;0.6295723707016674;10;2.214556052346444;-0.06915030291094804;0.00021041857309547706
242;41;1.150948411790599e-25;15;2.300223170466302;-0.07199817046634288;3.8467382292402115e-29
243;41;0.48463391112604387;20;2.334532734237029;-0.07504067874546355;0.00016197657457421246
244;41;13.49848253988657;50;2.4016649358481597;-0.09116446849500273;0.0045115249130636935
245;41;42.820103857026666;100;2.0535971622161995;-0.0827790487827938;0.014311532037776293
246;42;2948.1837167771405;5;2.192462796081032;-0.027472276506726196;1.0190749107421848
247;42;3034.4288913494597;10;2.582654665401625;-0.026121238939291233;1.0141807791943382
248;42;3032.907192004507;15;2.6928357938268883;-0.02966751769748375;1.0136721898410785
249;42;3033.0277203523065;20;2.741556509938786;-0.033425111959302124;1.0137124733797815
250;42;3050.61263467894;50;2.8277586716594807;-0.052573363437520816;1.0195897843178277
251;42;3096.784844072627;100;2.175646111165296;-0.03548400476790086;1.0350216724841668
252;43;451673.6841142726;5;0.6397433221817296;-0.8288536092515475;156.12640308132478
253;43;465196.96646338794;10;2.6877844050970854;-0.5432026041379587;155.4802695399024
254;43;465167.3580214918;15;3.1897297276388863;-0.5553758185904091;155.4703736702847
255;43;465136.991140292;20;3.6299392151238825;-0.568580023231437;155.46022431159494
256;43;465055.06872324983;50;5.192313629414546;-0.6358716657619573;155.4328438246156
257;43;465032.1332253682;100;7.207634587060673;-0.7001775575432811;155.42517821703484
258;44;1067685.680468461;5;2.570543522272024;-2.847711546054979;369.0583064184103
259;44;1097120.9944408033;10;3.280439361009559;-2.9108090268286535;366.68482434518825
260;44;1097122.9062094418;15;3.366990802200076;-2.9141438540979;366.6854633052947
261;44;1097134.2043901712;20;3.2853440972622785;-2.9155796622868944;366.68923943521764
262;44;1097214.550083402;50;2.2713590855839136;-2.906171291003498;366.71609294231354
263;44;1097255.8671812029;100;-0.8550791724932809;-2.8149296130593227;366.72990213275494
264;45;1763.9026804538178;5;44.515884101780344;-7.250146694576238;0.6097140271184989
265;45;393.48273168854377;10;55.36390130866104;-7.2061575727737095;0.13151160818467375
266;45;7.90187475998389e-23;15;57.50557926165746;-7.277354261658603;2.6409967505627475e-26
267;45;302.89619445377593;20;58.3633183559257;-7.353416968636678;0.10123535910888233
268;45;8436.551587429101;50;60.04162339620392;-7.75651171237501;2.819703070664806
269;45;26762.564910641588;100;51.339929055405086;-7.546876219569933;8.944707523610155
270;46;4599.808328401336;5;44.66804061236688;-7.079285781038846;1.5899786824754012
271;46;3428.0406703915646;10;55.424494502323924;-7.043998100750198;1.145735518178999
272;46;3103.6226734170036;15;57.51808704042461;-7.11416815564822;1.037307043254346
273;46;3454.6205599702625;20;58.340606682500386;-7.18943716207178;1.154619171113056
274;46;11619.384212653673;50;59.982448526588676;-7.591338045081789;3.883484028293341
275;46;29908.593128093078;100;51.29070391443627;-7.381950073218478;9.996187542811859
276;47;449295.2995510044;5;43.274885691004194;-6.74794021035419;155.30428605288782
277;47;464674.3822691351;10;54.24057857659378;-6.672432340048054;155.30560904717083
278;47;463424.9990408527;15;56.97727897143942;-6.756169025280151;154.88803443878766
279;47;462971.51093869255;20;58.38373911686559;-6.844270417168247;154.73646755972345
280;47;467759.2802576147;50;63.18409573715643;-7.33789848037285;156.33665784011185
281;47;485876.46089090744;100;57.94528336805399;-7.233990949932636;162.39186527102524
282;48;1092278.7725080322;5;38.27225401589983;-9.83974431816384;377.5592023878438
283;48;1129909.144781703;10;53.02243862378447;-10.339335947274577;377.64343074254776
284;48;1128703.8213668014;15;55.706191683251916;-10.421378542734177;377.2405820076208
285;48;1128314.7177017957;20;57.04777906545563;-10.506747963041956;377.1105339912419
286;48;1137446.6552546746;50;57.34203851580495;-10.861772633424884;380.16265215731096
287;48;1153891.538438022;100;49.5837657399647;-10.678008345658842;385.6589366437239
288;49;2860.194782184651;5;-40.86841031131976;5.5413358186177035;0.9886604846818703
289;49;1200.6849228766785;10;-51.73931542370043;5.491521723524793;0.4012984367903336
290;49;271.0495688856672;15;-54.191394454385716;5.567927068611837;0.09059143345109197
291;49;1.3603303580321712e-22;20;-55.42102280944438;5.649247809445783;4.546516796442089e-26
292;49;5604.331517589582;50;-58.73027230081751;6.081700664980281;1.8731054537398333
293;49;22411.97461917612;100;-51.655831669535694;5.919448253067833;7.490633228334264
294;50;5906.682416246573;5;-40.802662821842716;5.419803805838236;2.0417153184398793
295;50;4321.532172223761;10;-51.99408121521983;5.382831521382702;1.4443623570266582
296;50;3331.5860615776587;15;-54.49718547697654;5.460466235539473;1.1134980152331746
297;50;3004.9691710629336;20;-55.77431178662608;5.543174029665286;1.0043346159969695
298;50;8452.739608051046;50;-59.325870448328835;5.984789592810049;2.8251135053646546
299;50;25295.481975169736;100;-52.770145941004166;5.838477521469225;8.454372317904323
300;51;454825.5070494855;5;-41.84911123287523;6.730271716425708;157.21586831990513
301;51;465578.1076306565;10;-53.22137003974618;6.660568410544027;155.6076562936686
302;51;463832.43357875285;15;-56.3081215653943;6.751525155796767;155.02420908380776
303;51;462899.06395412755;20;-58.063062429762724;6.846944625231328;154.71225399536348
304;51;467208.76851044025;50;-63.224594231308345;7.3490839420164535;156.15266327220596
305;51;484246.5172623334;100;-59.86779628671123;7.301262233874892;161.84709801548576
306;52;1067353.3268246674;5;-37.46259566460383;3.798038031086721;368.94342441225973
307;52;1106428.5847545092;10;-43.54340883015533;4.476949061061578;369.79564998479583
308;52;1104403.8153611205;15;-46.83381510679369;4.568120852253138;369.1189222463638
309;52;1103129.720127963;20;-48.85073146402658;4.660237728286392;368.6930882780625
310;52;1103994.324574518;50;-55.5018295325041;5.149557417389442;368.98206035244584
